label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pseudo_sample
,,451,,523.3427,16.81239,0.8303467,,,,,,,,2459333.2833333355
,,452,,349.224,7.361295,0.83904,,,,,,,,33488.66393229167
,,453,,295.2311,4.543228,0.8186058,,,,,,,,2565887.450000002
,,454,,130.0977,16.81239,0.7548273,,,,,,,,3216779.916666668
,,455,,268.212,4.538289,0.8187109,,,,,,,,2564408.683333333
,,457,,359.1249,13.06129,0.7440238,,,,,,,,2622657.0333333337
,,459,,204.087,7.231333,0.7908407,,,,,,,,51653.87358398434
,,460,,853.2503,2.45615,0.8382382,,,,,,,,2012639.1333333324
,,461,,758.57,4.374584,0.8375246,,,,,,,,2531615.9166666665
,,462,,758.5705,3.071689,0.7480411,,,,,,,,1598756.6791666676
,,470,,244.191,5.317745,0.6653874,,,,,,,,518541.24583333376
,,475,,335.193,11.29493,0.8540651,,,,,,,,2196945.8666666658
,,478,,205.0975,8.762195,0.8403534,,,,,,,,2250552.050000002
,,479,,205.1001,11.32429,0.845197,,,,,,,,45948.0802083333
,,480,,315.1343,10.62544,0.8454251,,,,,,,,19450.78847656251
,,481,,135.121,10.3693,0.8396577,,,,,,,,2438934.249999999
,,482,,441.4137,2.588178,0.8364415,,,,,,,,2157273.4583333344
,,483,,284.2951,2.775106,0.8292611,,,,,,,,1824351.8333333319
,,485,,352.2021,13.65739,0.8516043,,,,,,,,2214867.541666666
,,486,,315.1092,4.220217,0.8364799,,,,,,,,1516686.8562500011
,,487,,315.1093,3.071689,0.7881749,,,,,,,,884481.7041666672
,,488,,315.1086,7.527033,0.7738439,,,,,,,,8322.335823567706
,,489,,615.1555,14.17436,0.8364253,,,,,,,,2138014.441666665
,,490,,665.121,13.89856,0.8361171,,,,,,,,2018685.041666668
,,491,,291.1303,14.18422,0.8394045,,,,,,,,2089549.8416666663
,,492,,270.1584,9.862862,0.7357373,,,,,,,,2000.8790771484364
,,493,,314.1813,4.250028,0.824203,,,,,,,,1420635.3583333348
,,494,,314.1814,8.928406,0.8321665,,,,,,,,576245.9229166664
,,495,,306.0757,13.67684,0.8241548,,,,,,,,2081541.3583333322
,,496,,306.0759,12.18678,0.6891596,,,,,,,,8653.398144531242
,,497,,428.0374,14.00738,0.8063256,,,,,,,,2006743.2999999996
,,498,,483.1542,2.548983,0.841803,,,,,,,,1728987.9625000043
,,501,,612.1818,2.495217,0.8350323,,,,,,,,2027760.600000001
