id,mz,rt,rtmin,rtmax,n_glc,image,prediction,EVA_remove,peak_group,n,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
2624,242.0158,8.36,8.27,8.53,1600000,F2731.png,TRUE,FALSE,,,FALSE,1600000,FALSE,FALSE,FALSE
2919,242.0437,8.84,8.76,8.98,440000,F2732.png,FALSE,TRUE,,,FALSE,440000,FALSE,FALSE,FALSE
1283,242.047,3.24,3.07,3.56,250000,F2733.png,TRUE,FALSE,,,FALSE,250000,FALSE,FALSE,FALSE
2576,242.0519,8.24,7.67,8.64,11000000,F2734.png,TRUE,FALSE,,,FALSE,11000000,FALSE,FALSE,FALSE
2883,242.0519,8.79,8.64,9.21,7200000,F2735.png,FALSE,TRUE,,,FALSE,7200000,FALSE,FALSE,FALSE
3484,242.0519,10.04,9.96,10.13,210000,F2736.png,FALSE,TRUE,,,FALSE,210000,FALSE,FALSE,FALSE
3757,242.052,10.58,10.44,10.64,220000,F2737.png,TRUE,FALSE,,,FALSE,220000,FALSE,FALSE,FALSE
4070,242.0632,11.3,11.18,11.38,130000,F2738.png,TRUE,FALSE,,,FALSE,130000,FALSE,FALSE,FALSE
1659,242.0685,4.76,4.56,4.82,93000,F2739.png,FALSE,TRUE,,,FALSE,93000,FALSE,FALSE,FALSE
3433,242.0761,9.9,9.79,9.99,300000,F2740.png,FALSE,TRUE,,,FALSE,300000,FALSE,FALSE,FALSE
981,242.0766,2.7,2.41,2.78,990000,F2741.png,TRUE,FALSE,,,FALSE,990000,FALSE,FALSE,FALSE
3185,242.08,9.42,9.3,9.59,7800000,F2742.png,FALSE,TRUE,,,FALSE,7800000,FALSE,FALSE,FALSE
3595,242.08,10.27,10.16,12.01,99000000,F2743.png,TRUE,FALSE,,,FALSE,99000000,FALSE,FALSE,FALSE
3606,242.0853,10.3,10.19,10.53,770000,F2744.png,TRUE,FALSE,,,FALSE,770000,FALSE,FALSE,FALSE
2197,242.0886,7.25,7.08,7.56,360000,F2745.png,TRUE,FALSE,,,FALSE,360000,FALSE,FALSE,FALSE
2795,242.0964,8.64,8.56,8.79,170000,F2746.png,TRUE,FALSE,,,FALSE,170000,FALSE,FALSE,FALSE
2198,242.1012,7.25,7.02,7.76,2500000,F2747.png,TRUE,FALSE,,,FALSE,2500000,FALSE,FALSE,FALSE
103,242.1049,1.5,1.36,1.53,320000,F2748.png,FALSE,TRUE,,,FALSE,320000,FALSE,FALSE,FALSE
875,242.1049,2.53,2.36,2.58,300000,F2749.png,FALSE,TRUE,,,FALSE,300000,FALSE,FALSE,FALSE
446,242.1221,1.76,1.7,1.87,290000,F2750.png,TRUE,FALSE,,,FALSE,290000,FALSE,FALSE,FALSE
1381,242.1229,3.53,3.38,3.64,130000,F2751.png,TRUE,FALSE,,,FALSE,130000,FALSE,FALSE,FALSE
629,242.1763,1.93,1.42,2.07,4500000,F2752.png,TRUE,FALSE,,,FALSE,4500000,FALSE,FALSE,FALSE
1033,242.1763,2.73,2.07,2.78,7400000,F2753.png,TRUE,FALSE,,,FALSE,7400000,FALSE,FALSE,FALSE
1192,242.1763,2.98,2.84,3.18,450000,F2754.png,TRUE,FALSE,,,FALSE,450000,FALSE,FALSE,FALSE
