id,mz,rt,rtmin,rtmax,p_293T_2,image,prediction,EVA_remove,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
1361,232.1544,4.63,4.1,6.58,77000,F506.png,TRUE,FALSE,FALSE,77000,FALSE,FALSE,FALSE
2316,233.0578,10.41,10.3,10.55,7700,F507.png,TRUE,FALSE,FALSE,7700,FALSE,FALSE,FALSE
2467,233.0757,10.82,10.75,10.93,1700,F508.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
1362,233.157,4.64,4.26,5.73,9400,F509.png,FALSE,TRUE,FALSE,9400,FALSE,FALSE,FALSE
2526,234.0239,11.04,10.99,11.28,3600,F510.png,TRUE,FALSE,FALSE,3600,FALSE,FALSE,FALSE
1568,234.0762,8.36,7.07,8.75,9200,F511.png,TRUE,FALSE,FALSE,9200,FALSE,FALSE,FALSE
1764,234.0762,9.14,8.77,9.56,22000,F512.png,FALSE,TRUE,FALSE,22000,FALSE,FALSE,FALSE
2461,234.0763,10.81,10.69,10.9,2800,F513.png,TRUE,FALSE,FALSE,2800,FALSE,FALSE,FALSE
2015,234.0781,9.75,9.68,9.9,5700,F514.png,FALSE,TRUE,FALSE,5700,FALSE,FALSE,FALSE
1360,234.1584,4.62,4.42,4.87,1100,F515.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
5188,234.9156,14.79,14.34,14.99,6300,F516.png,TRUE,FALSE,FALSE,6300,FALSE,FALSE,FALSE
3199,234.9159,14.12,14.05,14.34,2700,F517.png,FALSE,TRUE,FALSE,2700,FALSE,FALSE,FALSE
3274,235.0551,14.18,14.12,14.59,7700,F518.png,TRUE,FALSE,FALSE,7700,FALSE,FALSE,FALSE
1859,235.0788,9.38,9.05,9.49,2200,F519.png,FALSE,TRUE,FALSE,2200,FALSE,FALSE,FALSE
1389,235.1659,7.1,6.87,7.38,2400,F520.png,TRUE,FALSE,FALSE,2400,FALSE,FALSE,FALSE
1854,236.073,9.36,9.07,9.45,1200,F521.png,TRUE,FALSE,FALSE,1200,FALSE,FALSE,FALSE
3168,236.9075,14.06,13.96,14.24,2000,F522.png,FALSE,TRUE,FALSE,2000,FALSE,FALSE,FALSE
5215,236.9088,14.81,14.4,15.26,3200,F523.png,FALSE,TRUE,FALSE,3200,FALSE,FALSE,FALSE
1229,237.1334,3.15,3.06,3.29,1600,F524.png,TRUE,FALSE,FALSE,1600,FALSE,FALSE,FALSE
1358,237.1946,4.41,4.21,4.94,1700,F525.png,FALSE,TRUE,FALSE,1700,FALSE,FALSE,FALSE
1017,238.0889,2.9,2.86,2.94,1200,F526.png,TRUE,FALSE,FALSE,1200,FALSE,FALSE,FALSE
3200,239.0875,14.12,14,14.55,1800,F527.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
849,239.1477,2.07,2.04,2.46,3500,F528.png,TRUE,FALSE,FALSE,3500,FALSE,FALSE,FALSE
1377,240.1198,5.94,5.6,6.31,1400,F529.png,FALSE,TRUE,FALSE,1400,FALSE,FALSE,FALSE
3648,241.0661,14.35,14.12,14.63,1300,F530.png,FALSE,TRUE,FALSE,1300,FALSE,FALSE,FALSE
1307,241.2034,3.98,3.92,4.24,1000,F531.png,FALSE,TRUE,FALSE,1000,FALSE,FALSE,FALSE
2490,242.0763,10.91,10.79,11.06,7500,F532.png,TRUE,FALSE,FALSE,7500,FALSE,FALSE,FALSE
1445,242.0995,7.39,7.11,7.9,30000,F533.png,TRUE,FALSE,FALSE,30000,FALSE,FALSE,FALSE
2673,242.6414,11.36,11.25,11.5,3600,F534.png,TRUE,FALSE,FALSE,3600,FALSE,FALSE,FALSE
3227,242.9157,14.15,14,14.52,11000,F535.png,FALSE,TRUE,FALSE,11000,FALSE,FALSE,FALSE
