mz,rt,rtmin,rtmax,p_glc
278.1856,111.60000000000001,104.4,137.4,5800000
278.6872,111.60000000000001,108,121.79999999999998,1300000
388.254,111.60000000000001,108,118.2,1500000
412.7669,111.60000000000001,106.2,120,3200000
481.3482,111.60000000000001,106.2,118.2,3900000
494.3603,111.60000000000001,106.2,116.39999999999999,2000000
498.8035,111.60000000000001,106.2,145.8,960000
501.3535,111.60000000000001,106.2,120,770000
506.3602,111.60000000000001,104.4,120,3200000
523.3408,111.60000000000001,99.6,125.39999999999999,670000
524.3707,111.60000000000001,104.4,118.2,230000000
525.3742,111.60000000000001,104.4,118.2,62000000
526.377,111.60000000000001,106.2,168,10000000
536.3709,111.60000000000001,104.4,128.4,2800000
538.3864,111.60000000000001,104.4,121.79999999999998,3900000
546.3538,111.60000000000001,104.4,118.2,11000000
547.3571,111.60000000000001,106.2,168,3800000
551.3897,111.60000000000001,104.4,121.79999999999998,1700000
556.367,111.60000000000001,104.4,126.6,6300000
568.3393,111.60000000000001,104.4,118.2,4000000
570.355,111.60000000000001,104.4,118.2,5500000
673.3724,111.60000000000001,109.80000000000001,154.2,1900000
824.5263,111.60000000000001,106.2,116.39999999999999,920000
242.175,113.39999999999999,111.60000000000001,132,2100000
283.1751,113.39999999999999,109.80000000000001,130.2,650000
344.2278,113.39999999999999,109.80000000000001,128.4,1400000
466.329,113.39999999999999,108,123.60000000000001,5000000
478.329,113.39999999999999,108,118.2,1200000
480.3447,113.39999999999999,106.2,168,15000000
483.3427,113.39999999999999,111.60000000000001,132,880000
508.3758,113.39999999999999,103.2,116.39999999999999,15000000
509.3794,113.39999999999999,106.2,120,4200000
510.3552,113.39999999999999,104.4,116.39999999999999,21000000
511.3589,113.39999999999999,108,118.2,5200000
511.3952,113.39999999999999,108,118.2,1800000
518.3215,113.39999999999999,109.80000000000001,166.2,12000000
519.3249,113.39999999999999,109.80000000000001,126.6,3300000
520.3395,113.39999999999999,106.2,168,12000000
521.3427,113.39999999999999,103.2,118.2,4000000
522.3551,113.39999999999999,104.4,118.2,140000000
523.3586,113.39999999999999,104.4,118.2,39000000
544.3387,113.39999999999999,106.2,166.2,12000000
545.3425,113.39999999999999,108,118.2,3600000
555.3637,113.39999999999999,104.4,138.6,18000000
613.4052,113.39999999999999,104.4,120,580000
135.0803,114.6,89.4,120,1200000
244.1905,114.6,94.2,144,1400000
265.1294,114.6,111.60000000000001,147.6,3900000
299.1488,114.6,109.80000000000001,147.6,5400000
302.2689,114.6,106.2,128.4,620000
316.3209,114.6,94.2,152.4,66000000
317.3242,114.6,96,149.4,13000000
318.3001,114.6,113.39999999999999,132,2200000
318.3277,114.6,97.8,128.4,1500000
332.3159,114.6,96,126.6,2800000
362.7589,114.6,108,147.6,37000000
363.2606,114.6,109.80000000000001,140.39999999999998,16000000
363.7622,114.6,111.60000000000001,135.6,4100000
495.3274,114.6,109.80000000000001,120,7100000
685.3901,114.6,111.60000000000001,135.6,8000000
724.5101,114.6,109.80000000000001,130.2,20000000
725.5137,114.6,109.80000000000001,123.60000000000001,8500000
114.0913,116.39999999999999,113.39999999999999,130.2,4900000
151.0964,116.39999999999999,114.6,145.8,340000
288.2896,116.39999999999999,97.8,149.4,130000000
289.293,116.39999999999999,99.6,137.4,24000000
290.2965,116.39999999999999,101.39999999999999,137.4,2000000
321.1308,116.39999999999999,109.80000000000001,125.39999999999999,5700000
322.1341,116.39999999999999,113.39999999999999,145.8,870000
344.2431,116.39999999999999,111.60000000000001,128.4,1000000
